iter	Passed	Remaining
944	3483	33382
945	3487	33374
946	3490	33371
947	3493	33360
948	3496	33351
949	3499	33342
950	3502	33330
951	3509	33359
952	3513	33355
953	3518	33358
954	3521	33352
955	3525	33354
956	3528	33342
957	3531	33334
958	3534	33325
959	3537	33313
960	3540	33305
961	3543	33294
962	3548	33302
963	3551	33291
964	3554	33279
965	3557	33267
966	3562	33275
967	3564	33263
968	3567	33252
969	3571	33244
970	3574	33241
971	3579	33242
972	3582	33235
973	3586	33233
974	3589	33224
975	3592	33212
976	3595	33202
977	3598	33192
978	3602	33190
979	3606	33191
980	3609	33183
981	3613	33179
982	3616	33172
983	3620	33169
984	3622	33156
985	3625	33145
986	3630	33156
987	3633	33143
988	3636	33129
989	3638	33118
990	3643	33119
991	3646	33111
992	3649	33105
993	3652	33094
994	3659	33120
995	3663	33117
996	3669	33136
997	3673	33132
998	3676	33125
999	3679	33115
1000	3685	33133
1001	3688	33122
1002	3691	33111
1003	3694	33103
1004	3697	33097
1005	3701	33095
1006	3704	33086
1007	3711	33104
1008	3714	33096
1009	3717	33090
1010	3721	33086
1011	3724	33075
1012	3727	33065
1013	3729	33054
1014	3732	33042
1015	3737	33050
1016	3740	33040
1017	3743	33029
1018	3746	33021
1019	3750	33021
1020	3753	33010
1021	3756	32997
1022	3759	32986
1023	3763	32987
1024	3766	32977
1025	3770	32975
1026	3774	32979
1027	3779	32987
1028	3783	32988
1029	3789	33004
1030	3793	32997
1031	3796	32987
1032	3799	32983
1033	3804	32986
1034	3807	32976
1035	3809	32964
1036	3812	32953
1037	3815	32946
1038	3819	32940
1039	3822	32930
1040	3825	32919
1041	3827	32907
1042	3833	32918
1043	3836	32907
1044	3838	32895
1045	3841	32886
1046	3845	32881
1047	3848	32873
1048	3851	32863
1049	3854	32851
1050	3857	32845
1051	3861	32841
1052	3863	32831
1053	3866	32821
1054	3870	32820
1055	3874	32817
1056	3878	32813
1057	3881	32809
1058	3889	32841
1059	3894	32842
1060	3898	32846
1061	3901	32836
1062	3904	32826
1063	3907	32815
1064	3910	32810
1065	3913	32800
1066	3916	32792
1067	3920	32785
1068	3922	32774
1069	3927	32776
1070	3931	32778
1071	3938	32800
1072	3942	32804
1073	3948	32814
1074	3953	32823
1075	3956	32812
1076	3959	32801
1077	3962	32791
1078	3967	32801
1079	3970	32791
1080	3973	32781
1081	3976	32770
1082	3980	32772
1083	3983	32763
1084	3986	32756
1085	3990	32752
1086	3995	32758
1087	3997	32747
1088	4000	32736
1089	4003	32727
1090	4007	32726
1091	4010	32716
1092	4013	32710
1093	4016	32699
1094	4020	32692
1095	4023	32686
1096	4026	32675
1097	4028	32664
1098	4031	32654
1099	4036	32654
1100	4038	32644
1101	4041	32635
1102	4044	32624
1103	4050	32636
1104	4053	32626
1105	4055	32615
1106	4058	32605
1107	4062	32599
1108	4065	32593
1109	4068	32584
1110	4071	32573
1111	4076	32584
1112	4080	32577
1113	4082	32566
1114	4085	32557
1115	4088	32548
1116	4091	32538
1117	4096	32543
1118	4100	32541
1119	4104	32545
1120	4108	32540
1121	4112	32538
1122	4116	32539
1123	4120	32536
1124	4123	32528
1125	4127	32525
1126	4129	32515
1127	4132	32504
1128	4136	32501
1129	4139	32490
1130	4144	32500
1131	4147	32491
1132	4150	32486
1133	4154	32480
1134	4157	32471
1135	4160	32466
1136	4164	32462
1137	4168	32458
1138	4171	32456
1139	4174	32447
1140	4178	32443
1141	4182	32440
1142	4185	32432
1143	4189	32429
1144	4192	32422
1145	4198	32434
1146	4203	32441
1147	4206	32432
1148	4209	32426
1149	4212	32417
1150	4215	32406
1151	4217	32395
1152	4220	32385
1153	4225	32386
1154	4227	32375
1155	4230	32366
1156	4233	32357
1157	4239	32368
1158	4242	32358
1159	4244	32348
1160	4247	32336
1161	4252	32341
1162	4254	32331
